,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
14,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
15,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
16,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
17,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
18,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
19,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
20,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
21,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
22,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
23,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
24,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
25,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
26,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
27,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
28,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
29,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
30,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
31,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
32,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
33,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
34,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
35,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
36,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
37,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
38,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
39,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
40,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
41,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
42,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
43,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
44,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
45,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
46,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
47,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
48,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
49,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
50,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
51,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
52,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
53,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
54,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
55,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
56,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
57,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
58,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
59,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
60,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
61,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
62,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
63,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
64,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
65,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
66,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
67,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
68,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
69,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
70,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
71,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
72,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
73,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
74,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
75,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
76,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
77,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
78,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
79,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
80,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
81,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
82,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
83,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
84,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
85,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
86,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
87,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
88,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
89,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
90,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
91,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
92,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
93,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
94,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
95,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
96,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
97,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
98,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
99,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
100,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
101,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
102,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
103,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
104,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,1,1996-01-01,1996-01-07,,,,,,,,,,,,,,,No Report
105,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,2,1996-01-08,1996-01-14,,,,,,,,,,,,,,,No Report
106,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,3,1996-01-15,1996-01-21,,,,,,,,,,,,,,,No Report
107,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,4,1996-01-22,1996-01-28,,,,,,,,,,,,,,,No Report
108,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,5,1996-01-29,1996-02-04,,,,,,,,,,,,,,,No Report
109,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,6,1996-02-05,1996-02-11,,,,,,,,,,,,,,,No Report
110,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,7,1996-02-12,1996-02-18,,,,,,,,,,,,,,,No Report
111,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,8,1996-02-19,1996-02-25,,,,,,,,,,,,,,,No Report
112,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,9,1996-02-26,1996-03-03,,,,,,,,,,,,,,,No Report
113,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,10,1996-03-04,1996-03-10,,,,,,,,,,,,,,,No Report
114,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,11,1996-03-11,1996-03-17,,,,,,,,,,,,,,,No Report
115,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,12,1996-03-18,1996-03-24,,,,,,,,,,,,,,,No Report
116,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,13,1996-03-25,1996-03-31,,,,,,,,,,,,,,,No Report
117,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,14,1996-04-01,1996-04-07,,,,,,,,,,,,,,,No Report
118,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,15,1996-04-08,1996-04-14,,,,,,,,,,,,,,,No Report
119,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,16,1996-04-15,1996-04-21,,,,,,,,,,,,,,,No Report
120,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,17,1996-04-22,1996-04-28,,,,,,,,,,,,,,,No Report
121,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,18,1996-04-29,1996-05-05,,,,,,,,,,,,,,,No Report
122,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,19,1996-05-06,1996-05-12,,,,,,,,,,,,,,,No Report
123,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,20,1996-05-13,1996-05-19,,,,,,,,,,,,,,,No Report
124,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,21,1996-05-20,1996-05-26,,,,,,,,,,,,,,,No Report
125,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,22,1996-05-27,1996-06-02,,,,,,,,,,,,,,,No Report
126,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,23,1996-06-03,1996-06-09,,,,,,,,,,,,,,,No Report
127,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,24,1996-06-10,1996-06-16,,,,,,,,,,,,,,,No Report
128,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,25,1996-06-17,1996-06-23,,,,,,,,,,,,,,,No Report
129,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,26,1996-06-24,1996-06-30,,,,,,,,,,,,,,,No Report
130,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,27,1996-07-01,1996-07-07,,,,,,,,,,,,,,,No Report
131,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,28,1996-07-08,1996-07-14,,,,,,,,,,,,,,,No Report
132,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,29,1996-07-15,1996-07-21,,,,,,,,,,,,,,,No Report
133,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,30,1996-07-22,1996-07-28,,,,,,,,,,,,,,,No Report
134,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,31,1996-07-29,1996-08-04,,,,,,,,,,,,,,,No Report
135,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,32,1996-08-05,1996-08-11,,,,,,,,,,,,,,,No Report
136,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,33,1996-08-12,1996-08-18,,,,,,,,,,,,,,,No Report
137,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,34,1996-08-19,1996-08-25,,,,,,,,,,,,,,,No Report
138,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,35,1996-08-26,1996-09-01,,,,,,,,,,,,,,,No Report
139,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,36,1996-09-02,1996-09-08,,,,,,,,,,,,,,,No Report
140,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,37,1996-09-09,1996-09-15,,,,,,,,,,,,,,,No Report
141,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,38,1996-09-16,1996-09-22,,,,,,,,,,,,,,,No Report
142,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,39,1996-09-23,1996-09-29,,,,,,,,,,,,,,,No Report
143,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,40,1996-09-30,1996-10-06,,,,,,,,,,,,,,,No Report
144,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,41,1996-10-07,1996-10-13,,,,,,,,,,,,,,,No Report
145,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,42,1996-10-14,1996-10-20,,,,,,,,,,,,,,,No Report
146,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,43,1996-10-21,1996-10-27,,,,,,,,,,,,,,,No Report
147,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,44,1996-10-28,1996-11-03,,,,,,,,,,,,,,,No Report
148,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,45,1996-11-04,1996-11-10,,,,,,,,,,,,,,,No Report
149,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,46,1996-11-11,1996-11-17,,,,,,,,,,,,,,,No Report
150,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,47,1996-11-18,1996-11-24,,,,,,,,,,,,,,,No Report
151,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,48,1996-11-25,1996-12-01,,,,,,,,,,,,,,,No Report
152,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,49,1996-12-02,1996-12-08,,,,,,,,,,,,,,,No Report
153,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,50,1996-12-09,1996-12-15,,,,,,,,,,,,,,,No Report
154,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,51,1996-12-16,1996-12-22,,,,,,,,,,,,,,,No Report
155,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1996,52,1996-12-23,1996-12-29,,,,,,,,,,,,,,,No Report
156,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,1,1996-12-30,1997-01-05,,,,,,,,,,,,,,,No Report
157,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,2,1997-01-06,1997-01-12,,,,,,,,,,,,,,,No Report
158,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,3,1997-01-13,1997-01-19,,,,,,,,,,,,,,,No Report
159,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,4,1997-01-20,1997-01-26,,,,,,,,,,,,,,,No Report
160,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,5,1997-01-27,1997-02-02,,,,,,,,,,,,,,,No Report
161,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,6,1997-02-03,1997-02-09,,,,,,,,,,,,,,,No Report
162,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,7,1997-02-10,1997-02-16,,,,,,,,,,,,,,,No Report
163,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,8,1997-02-17,1997-02-23,,,,,,,,,,,,,,,No Report
164,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,9,1997-02-24,1997-03-02,,,,,,,,,,,,,,,No Report
165,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,10,1997-03-03,1997-03-09,,,,,,,,,,,,,,,No Report
166,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,11,1997-03-10,1997-03-16,,,,,,,,,,,,,,,No Report
167,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,12,1997-03-17,1997-03-23,,,,,,,,,,,,,,,No Report
168,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,13,1997-03-24,1997-03-30,,,,,,,,,,,,,,,No Report
169,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,14,1997-03-31,1997-04-06,,,,,,,,,,,,,,,No Report
170,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,15,1997-04-07,1997-04-13,,,,,,,,,,,,,,,No Report
171,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,16,1997-04-14,1997-04-20,,,,,,,,,,,,,,,No Report
172,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,17,1997-04-21,1997-04-27,,,,,,,,,,,,,,,No Report
173,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,18,1997-04-28,1997-05-04,,,,,,,,,,,,,,,No Report
174,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,19,1997-05-05,1997-05-11,,,,,,,,,,,,,,,No Report
175,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,20,1997-05-12,1997-05-18,,,,,,,,,,,,,,,No Report
176,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,21,1997-05-19,1997-05-25,,,,,,,,,,,,,,,No Report
177,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,22,1997-05-26,1997-06-01,,,,,,,,,,,,,,,No Report
178,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,23,1997-06-02,1997-06-08,,,,,,,,,,,,,,,No Report
179,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,24,1997-06-09,1997-06-15,,,,,,,,,,,,,,,No Report
180,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,25,1997-06-16,1997-06-22,,,,,,,,,,,,,,,No Report
181,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,26,1997-06-23,1997-06-29,,,,,,,,,,,,,,,No Report
182,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,27,1997-06-30,1997-07-06,,,,,,,,,,,,,,,No Report
183,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,28,1997-07-07,1997-07-13,,,,,,,,,,,,,,,No Report
184,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,29,1997-07-14,1997-07-20,,,,,,,,,,,,,,,No Report
185,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,30,1997-07-21,1997-07-27,,,,,,,,,,,,,,,No Report
186,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,31,1997-07-28,1997-08-03,,,,,,,,,,,,,,,No Report
187,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,32,1997-08-04,1997-08-10,,,,,,,,,,,,,,,No Report
188,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,33,1997-08-11,1997-08-17,,,,,,,,,,,,,,,No Report
189,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,34,1997-08-18,1997-08-24,,,,,,,,,,,,,,,No Report
190,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,35,1997-08-25,1997-08-31,,,,,,,,,,,,,,,No Report
191,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,36,1997-09-01,1997-09-07,,,,,,,,,,,,,,,No Report
192,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,37,1997-09-08,1997-09-14,,,,,,,,,,,,,,,No Report
193,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,38,1997-09-15,1997-09-21,,,,,,,,,,,,,,,No Report
194,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,39,1997-09-22,1997-09-28,,,,,,,,,,,,,,,No Report
195,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,40,1997-09-29,1997-10-05,,,,,,,,,,,,,,,No Report
196,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,41,1997-10-06,1997-10-12,,,,,,,,,,,,,,,No Report
197,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,42,1997-10-13,1997-10-19,,,,,,,,,,,,,,,No Report
198,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,43,1997-10-20,1997-10-26,,,,,,,,,,,,,,,No Report
199,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,44,1997-10-27,1997-11-02,,,,,,,,,,,,,,,No Report
200,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,45,1997-11-03,1997-11-09,,,,,,,,,,,,,,,No Report
201,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,46,1997-11-10,1997-11-16,,,,,,,,,,,,,,,No Report
202,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,47,1997-11-17,1997-11-23,,,,,,,,,,,,,,,No Report
203,Qatar,Eastern Mediterranean Region of WHO,Western Asia,1997,48,1997-11-24,1997-11-30,,,,,,,,,,,,,,,No Report
