Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Argentina,Region of the Americas of WHO,Temperate South America,2008,1,2007-12-31,2008-01-06,,19,0,,0,,0,0,0,0,0,0,0,19,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,2,2008-01-07,2008-01-13,,21,0,,0,,0,0,0,0,0,0,0,21,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,3,2008-01-14,2008-01-20,,27,0,,0,,0,0,0,0,0,0,0,27,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,4,2008-01-21,2008-01-27,,25,0,,0,,0,0,0,0,0,0,0,25,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,5,2008-01-28,2008-02-03,,26,0,,0,,0,0,0,0,0,0,0,26,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,6,2008-02-04,2008-02-10,,25,0,,0,,0,0,0,0,0,0,0,25,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,7,2008-02-11,2008-02-17,,27,0,,0,,0,0,0,0,0,0,0,27,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,8,2008-02-18,2008-02-24,,25,0,,0,,0,0,0,0,0,0,0,25,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,9,2008-02-25,2008-03-02,,20,0,,0,,0,0,0,0,0,0,0,20,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,10,2008-03-03,2008-03-09,,28,0,,0,,0,0,0,0,0,0,0,28,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,11,2008-03-10,2008-03-16,,54,0,,0,,0,0,0,0,0,0,0,54,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,12,2008-03-17,2008-03-23,,42,0,,0,,0,0,0,0,0,0,0,42,No Activity

Argentina,Region of the Americas of WHO,Temperate South America,2008,13,2008-03-24,2008-03-30,,58,0,,0,,0,0,0,0,0,0,0,58,No Activity

