Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,1,2005-01-03,2005-01-09,,90,12,,28,,,40,3,,1,4,44,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,2,2005-01-10,2005-01-16,,136,18,,64,,,82,3,,1,4,86,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,3,2005-01-17,2005-01-23,,98,15,,38,,,53,2,1,2,5,58,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,4,2005-01-24,2005-01-30,,131,12,,65,,,77,5,1,3,9,86,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,5,2005-01-31,2005-02-06,,158,10,,83,,,93,3,2,3,8,101,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,6,2005-02-07,2005-02-13,,151,14,,61,,,75,5,4,1,10,85,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,7,2005-02-14,2005-02-20,,139,7,,67,,,74,2,,10,12,86,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,8,2005-02-21,2005-02-27,,134,18,,65,,,83,7,,4,11,94,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,9,2005-02-28,2005-03-06,,110,1,,45,,,46,1,,5,6,52,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,10,2005-03-07,2005-03-13,,89,1,,27,,,28,7,2,5,14,42,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,11,2005-03-14,2005-03-20,,115,8,,39,,,47,14,4,9,27,74,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,12,2005-03-21,2005-03-27,,47,,,18,,,18,6,,3,9,27,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,13,2005-03-28,2005-04-03,,55,4,,16,,,20,11,1,2,14,34,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,14,2005-04-04,2005-04-10,,31,2,,16,,,18,5,,1,6,24,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,15,2005-04-11,2005-04-17,,28,1,,7,,,8,5,1,2,8,16,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,16,2005-04-18,2005-04-24,,20,,,,,,0,1,1,,2,2,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,17,2005-04-25,2005-05-01,,14,,,2,,,2,1,,,1,3,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,18,2005-05-02,2005-05-08,,12,,,8,,,8,1,,,1,9,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,19,2005-05-09,2005-05-15,,6,,,1,,,1,1,,,1,2,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,20,2005-05-16,2005-05-22,,5,,,2,,,2,2,1,,3,5,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,21,2005-05-23,2005-05-29,,1,,,,,,0,1,,,1,1,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,22,2005-05-30,2005-06-05,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,23,2005-06-06,2005-06-12,,3,,,,,,0,,,1,1,1,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,24,2005-06-13,2005-06-19,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,25,2005-06-20,2005-06-26,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,26,2005-06-27,2005-07-03,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,27,2005-07-04,2005-07-10,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,28,2005-07-11,2005-07-17,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,29,2005-07-18,2005-07-24,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,30,2005-07-25,2005-07-31,,1,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,31,2005-08-01,2005-08-07,,1,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,32,2005-08-08,2005-08-14,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2005,33,2005-08-15,2005-08-21,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

